Method, Mean (ms), Stddev (ms)
copy_plain 4 Kb, 220.625509, 75.881564
copy_plain 8 Kb, 257.824017, 1.247756
copy_plain 12 Kb, 259.166224, 0.757482
copy_plain 16 Kb, 260.169856, 0.436485
copy_plain 24 Kb, 256.715959, 0.730510
copy_plain 32 Kb, 264.060923, 11.140479
copy_plain 40 Kb, 258.377662, 1.073198
copy_plain 48 Kb, 264.588564, 10.089939
copy_plain 56 Kb, 273.528445, 11.105809
copy_plain 64 Kb, 268.028211, 1.471242
copy_plain 256 Kb, 269.329831, 1.716723
copy_plain 1024 Kb, 269.704852, 2.468547
copy_plain 4096 Kb, 281.241430, 9.103478
copy_plain 16384 Kb, 280.306389, 2.393980
copy_direct 4 Kb, 1487.718649, 88.697209
copy_direct 8 Kb, 958.939521, 20.279047
copy_direct 12 Kb, 1591.887421, 759.987007
copy_direct 16 Kb, 913.138522, 18.505611
copy_direct 24 Kb, 944.367673, 236.468276
copy_direct 32 Kb, 1081.053136, 171.585270
copy_direct 40 Kb, 1085.547289, 64.926998
copy_direct 48 Kb, 962.414713, 90.579626
copy_direct 56 Kb, 807.080572, 12.489763
copy_direct 64 Kb, 772.103019, 42.217359
copy_direct 256 Kb, 437.085666, 2.079174
copy_direct 1024 Kb, 403.334180, 50.751239
copy_direct 4096 Kb, 353.110150, 30.377647
copy_direct 16384 Kb, 349.915712, 34.111506
copy_preallocate 4 Kb, 23.520149, 1.808304
copy_preallocate 8 Kb, 22.807171, 0.053903
copy_preallocate 12 Kb, 22.574872, 0.131586
copy_preallocate 16 Kb, 22.473930, 0.166310
copy_preallocate 24 Kb, 33.582258, 6.695507
copy_preallocate 32 Kb, 38.331809, 0.023274
copy_preallocate 40 Kb, 38.120279, 0.061808
copy_preallocate 48 Kb, 37.853088, 0.035932
copy_preallocate 56 Kb, 37.848912, 0.044940
copy_preallocate 64 Kb, 26.198128, 6.230669
copy_preallocate 256 Kb, 22.451879, 0.085953
copy_preallocate 1024 Kb, 22.366990, 0.092951
copy_preallocate 4096 Kb, 24.952927, 0.123366
copy_preallocate 16384 Kb, 27.057323, 0.775909
copy_mmap_plain, 34.843479, 0.653496
copy_mmap_fadvise, 34.181751, 0.166770
copy_splice 4 Kb, 223.025773, 94.064602
copy_splice 8 Kb, 269.902794, 1.522675
copy_splice 12 Kb, 268.057585, 1.478489
copy_splice 16 Kb, 281.999361, 37.983873
copy_splice 24 Kb, 300.786674, 34.662438
copy_splice 32 Kb, 285.116354, 25.680817
copy_splice 40 Kb, 315.735796, 31.652553
copy_splice 48 Kb, 327.636471, 47.004183
copy_splice 56 Kb, 284.979510, 30.485548
copy_splice 64 Kb, 346.502512, 79.629453
copy_splice 256 Kb, 312.587742, 63.552155
copy_splice 1024 Kb, 318.996718, 43.489525
copy_splice 4096 Kb, 302.428986, 72.428890
copy_splice 16384 Kb, 276.455180, 22.266204
copy_splice_preallocate 4 Kb, 84.217367, 120.280712
copy_splice_preallocate 8 Kb, 22.351867, 0.129609
copy_splice_preallocate 12 Kb, 21.584754, 0.265713
copy_splice_preallocate 16 Kb, 21.163297, 0.115503
copy_splice_preallocate 24 Kb, 20.803091, 0.102103
copy_splice_preallocate 32 Kb, 20.743358, 0.174739
copy_splice_preallocate 40 Kb, 20.638842, 0.125151
copy_splice_preallocate 48 Kb, 20.452613, 0.113108
copy_splice_preallocate 56 Kb, 20.326697, 0.094957
copy_splice_preallocate 64 Kb, 20.362065, 0.046260
copy_splice_preallocate 256 Kb, 20.354846, 0.176338
copy_splice_preallocate 1024 Kb, 20.477286, 0.198222
copy_splice_preallocate 4096 Kb, 21.321834, 0.076002
copy_splice_preallocate 16384 Kb, 20.678563, 0.414031
copy_splice_preallocate_fadvise 4 Kb, 24.132364, 0.120365
copy_splice_preallocate_fadvise 8 Kb, 22.272537, 0.211714
copy_splice_preallocate_fadvise 12 Kb, 21.556250, 0.250967
copy_splice_preallocate_fadvise 16 Kb, 21.169291, 0.090530
copy_splice_preallocate_fadvise 24 Kb, 20.790050, 0.062812
copy_splice_preallocate_fadvise 32 Kb, 20.693289, 0.114725
copy_splice_preallocate_fadvise 40 Kb, 20.530646, 0.068633
copy_splice_preallocate_fadvise 48 Kb, 20.392923, 0.221901
copy_splice_preallocate_fadvise 56 Kb, 20.274911, 0.103856
copy_splice_preallocate_fadvise 64 Kb, 20.183693, 0.057767
copy_splice_preallocate_fadvise 256 Kb, 20.329361, 0.101700
copy_splice_preallocate_fadvise 1024 Kb, 20.303700, 0.116071
copy_splice_preallocate_fadvise 4096 Kb, 20.384348, 0.124832
copy_splice_preallocate_fadvise 16384 Kb, 20.261525, 0.052172
copy_splice_fadvise 4 Kb, 266.410638, 124.575559
copy_splice_fadvise 8 Kb, 313.279389, 83.115523
copy_splice_fadvise 12 Kb, 265.749469, 11.263556
copy_splice_fadvise 16 Kb, 267.397616, 1.600474
copy_splice_fadvise 24 Kb, 321.145524, 44.961376
copy_splice_fadvise 32 Kb, 297.789588, 63.417308
copy_splice_fadvise 40 Kb, 260.274399, 2.436719
copy_splice_fadvise 48 Kb, 286.721146, 49.905911
copy_splice_fadvise 56 Kb, 310.173418, 50.420729
copy_splice_fadvise 64 Kb, 275.783188, 25.578643
copy_splice_fadvise 256 Kb, 306.826055, 53.644472
copy_splice_fadvise 1024 Kb, 304.509801, 49.916262
copy_splice_fadvise 4096 Kb, 295.299237, 40.230778
