Method, Mean (ms), Stddev (ms)
read_plain 4 Kb, 94.125528, 0.566597
read_plain 8 Kb, 94.382559, 0.231561
read_plain 12 Kb, 93.611016, 0.564325
read_plain 16 Kb, 93.230803, 0.510964
read_plain 24 Kb, 92.952187, 0.088422
read_plain 32 Kb, 93.359532, 0.656302
read_plain 40 Kb, 92.849890, 0.076056
read_plain 48 Kb, 92.814075, 0.079399
read_plain 56 Kb, 93.273748, 0.201145
read_plain 64 Kb, 92.981432, 0.132627
read_plain 256 Kb, 93.327464, 0.214897
read_plain 1024 Kb, 105.039304, 0.500752
read_plain 4096 Kb, 109.777754, 0.819034
read_plain 16384 Kb, 111.066660, 0.757701
read_fadvise 4 Kb, 93.738192, 0.245199
read_fadvise 8 Kb, 93.738603, 0.157479
read_fadvise 12 Kb, 93.715202, 0.101178
read_fadvise 16 Kb, 93.765594, 0.130318
read_fadvise 24 Kb, 93.983271, 0.168832
read_fadvise 32 Kb, 93.884465, 0.187001
read_fadvise 40 Kb, 94.516551, 0.152750
read_fadvise 48 Kb, 94.391986, 0.485956
read_fadvise 56 Kb, 94.336406, 0.366612
read_fadvise 64 Kb, 93.933908, 0.385065
read_fadvise 256 Kb, 93.371984, 0.196352
read_fadvise 1024 Kb, 98.755065, 6.449635
read_fadvise 4096 Kb, 109.553738, 3.491548
read_fadvise 16384 Kb, 111.121353, 0.550494
async_read_plain 4 Kb, 94.351619, 0.221262
async_read_plain 8 Kb, 94.126915, 0.061782
async_read_plain 12 Kb, 93.480352, 0.134591
async_read_plain 16 Kb, 93.512523, 0.320939
async_read_plain 24 Kb, 93.302030, 0.360097
async_read_plain 32 Kb, 93.096031, 0.072480
async_read_plain 40 Kb, 92.948476, 0.113103
async_read_plain 48 Kb, 93.068678, 0.200681
async_read_plain 56 Kb, 92.779662, 0.086008
async_read_plain 64 Kb, 92.995396, 0.268226
async_read_plain 256 Kb, 92.983480, 0.138958
async_read_plain 1024 Kb, 93.361722, 0.050866
async_read_plain 4096 Kb, 95.091412, 0.362038
async_read_plain 16384 Kb, 103.232696, 0.964661
async_read_fadvise 4 Kb, 94.529164, 0.261138
async_read_fadvise 8 Kb, 94.050313, 0.423209
async_read_fadvise 12 Kb, 93.852861, 0.202241
async_read_fadvise 16 Kb, 93.704185, 0.128870
async_read_fadvise 24 Kb, 93.549886, 0.285604
async_read_fadvise 32 Kb, 93.789004, 0.209573
async_read_fadvise 40 Kb, 94.253519, 0.216530
async_read_fadvise 48 Kb, 94.654296, 0.255123
async_read_fadvise 56 Kb, 94.451136, 0.171614
async_read_fadvise 64 Kb, 94.304585, 0.159171
async_read_fadvise 256 Kb, 93.523919, 0.120182
async_read_fadvise 1024 Kb, 94.023677, 0.210092
async_read_fadvise 4096 Kb, 95.333937, 0.186495
async_read_fadvise 16384 Kb, 103.176380, 0.510956
