File Size, Method, Mean (ms), Stddev (ms)
67108864, read_plain 4 Kb, 193.726184, 3.109386
67108864, read_plain 8 Kb, 192.434689, 0.772346
67108864, read_plain 12 Kb, 190.457545, 0.988508
67108864, read_plain 16 Kb, 190.156148, 0.744302
67108864, read_plain 24 Kb, 190.508226, 0.822329
67108864, read_plain 32 Kb, 190.508458, 0.437048
67108864, read_plain 40 Kb, 190.745350, 1.226999
67108864, read_plain 48 Kb, 190.105467, 0.807047
67108864, read_plain 56 Kb, 190.197352, 1.185191
67108864, read_plain 64 Kb, 190.120493, 0.590900
67108864, read_plain 256 Kb, 198.301695, 6.992591
67108864, read_plain 1024 Kb, 228.873243, 10.718895
67108864, read_plain 4096 Kb, 234.981719, 15.887706
67108864, read_plain 16384 Kb, 227.364812, 4.571766
67108864, read_plain 65536 Kb, 225.918215, 0.604837
67108864, read_direct 4 Kb, 1011.216410, 14.254864
67108864, read_direct 8 Kb, 609.115972, 6.198243
67108864, read_direct 12 Kb, 526.700119, 51.803114
67108864, read_direct 16 Kb, 449.798864, 38.815704
67108864, read_direct 24 Kb, 363.139455, 23.161134
67108864, read_direct 32 Kb, 376.642417, 17.595809
67108864, read_direct 40 Kb, 347.550572, 7.588221
67108864, read_direct 48 Kb, 340.485277, 6.978827
67108864, read_direct 56 Kb, 332.889500, 16.467773
67108864, read_direct 64 Kb, 322.236115, 12.629165
67108864, read_direct 256 Kb, 274.424177, 12.264177
67108864, read_direct 1024 Kb, 240.848607, 10.127077
67108864, read_direct 4096 Kb, 249.884892, 21.578878
67108864, read_direct 16384 Kb, 224.287097, 3.929828
67108864, read_direct 65536 Kb, 237.006206, 17.283227
67108864, read_fadvise 4 Kb, 190.668292, 1.598427
67108864, read_fadvise 8 Kb, 189.118059, 0.218242
67108864, read_fadvise 12 Kb, 189.418444, 0.245282
67108864, read_fadvise 16 Kb, 189.956796, 0.945471
67108864, read_fadvise 24 Kb, 188.998628, 0.328098
67108864, read_fadvise 32 Kb, 190.097343, 1.699910
67108864, read_fadvise 40 Kb, 186.216031, 0.199867
67108864, read_fadvise 48 Kb, 186.624576, 0.829193
67108864, read_fadvise 56 Kb, 186.412887, 0.668537
67108864, read_fadvise 64 Kb, 187.881457, 2.428041
67108864, read_fadvise 256 Kb, 188.105949, 0.077715
67108864, read_fadvise 1024 Kb, 204.812671, 14.272288
67108864, read_fadvise 4096 Kb, 228.555596, 13.395709
67108864, read_fadvise 16384 Kb, 240.512399, 14.039801
67108864, read_fadvise 65536 Kb, 230.668756, 14.555598
67108864, aio_read_direct 4 Kb, 1699.704350, 163.060895
67108864, aio_read_direct 8 Kb, 1012.032260, 81.834286
67108864, aio_read_direct 12 Kb, 858.989021, 41.951830
67108864, aio_read_direct 16 Kb, 755.995341, 50.206518
67108864, aio_read_direct 24 Kb, 576.631229, 34.216032
67108864, aio_read_direct 32 Kb, 471.455523, 16.105441
67108864, aio_read_direct 40 Kb, 394.407059, 36.151444
67108864, aio_read_direct 48 Kb, 353.112292, 27.417789
67108864, aio_read_direct 56 Kb, 341.814003, 17.540040
67108864, aio_read_direct 64 Kb, 315.902713, 6.936188
67108864, aio_read_direct 256 Kb, 226.447617, 4.463472
67108864, aio_read_direct 1024 Kb, 207.202001, 2.812302
67108864, aio_read_direct 4096 Kb, 197.091806, 0.287839
67108864, aio_read_direct 16384 Kb, 208.117145, 1.617372
67108864, aio_read_direct 65536 Kb, 231.457139, 15.987242
67108864, aio_read_fadvise 4 Kb, 190.805244, 2.481234
67108864, aio_read_fadvise 8 Kb, 191.177571, 3.906794
67108864, aio_read_fadvise 12 Kb, 261.801620, 143.692312
67108864, aio_read_fadvise 16 Kb, 189.374366, 1.163453
67108864, aio_read_fadvise 24 Kb, 189.619256, 1.133440
67108864, aio_read_fadvise 32 Kb, 189.302382, 0.740653
67108864, aio_read_fadvise 40 Kb, 186.667052, 1.056994
67108864, aio_read_fadvise 48 Kb, 186.403413, 0.348638
67108864, aio_read_fadvise 56 Kb, 186.301840, 0.260883
67108864, aio_read_fadvise 64 Kb, 186.429249, 0.599871
67108864, aio_read_fadvise 256 Kb, 188.394065, 0.159482
67108864, aio_read_fadvise 1024 Kb, 189.365553, 0.561731
67108864, aio_read_fadvise 4096 Kb, 191.952548, 0.946761
67108864, aio_read_fadvise 16384 Kb, 203.188008, 4.765299
67108864, aio_read_fadvise 65536 Kb, 225.464460, 2.966993
67108864, read_async_plain 4 Kb, 192.661303, 1.033236
67108864, read_async_plain 8 Kb, 191.869023, 0.366000
67108864, read_async_plain 12 Kb, 190.357717, 0.545196
67108864, read_async_plain 16 Kb, 190.003803, 0.624517
67108864, read_async_plain 24 Kb, 189.838854, 1.065554
67108864, read_async_plain 32 Kb, 190.421693, 0.096312
67108864, read_async_plain 40 Kb, 189.719719, 0.355290
67108864, read_async_plain 48 Kb, 189.774454, 0.255786
67108864, read_async_plain 56 Kb, 189.691577, 0.368079
67108864, read_async_plain 64 Kb, 189.673989, 0.359768
67108864, read_async_plain 256 Kb, 189.670615, 0.700755
67108864, read_async_plain 1024 Kb, 190.754542, 0.535833
67108864, read_async_plain 4096 Kb, 194.241458, 0.832263
67108864, read_async_plain 16384 Kb, 203.156358, 5.418367
67108864, read_async_plain 65536 Kb, 232.777942, 14.200575
67108864, read_async_direct 4 Kb, 921.537008, 15.962145
67108864, read_async_direct 8 Kb, 546.766672, 5.585004
67108864, read_async_direct 12 Kb, 400.096821, 1.262332
67108864, read_async_direct 16 Kb, 347.554355, 5.160928
67108864, read_async_direct 24 Kb, 292.749792, 2.761669
67108864, read_async_direct 32 Kb, 265.708879, 7.173122
67108864, read_async_direct 40 Kb, 249.278515, 1.742242
67108864, read_async_direct 48 Kb, 236.247282, 0.650614
67108864, read_async_direct 56 Kb, 289.585864, 13.356011
67108864, read_async_direct 64 Kb, 264.937592, 21.741096
67108864, read_async_direct 256 Kb, 213.381817, 0.552109
67108864, read_async_direct 1024 Kb, 196.523792, 1.195702
67108864, read_async_direct 4096 Kb, 191.093380, 0.668938
67108864, read_async_direct 16384 Kb, 202.045222, 4.309720
67108864, read_async_direct 65536 Kb, 224.505787, 1.342438
67108864, read_async_fadvise 4 Kb, 191.415182, 0.900929
67108864, read_async_fadvise 8 Kb, 189.586241, 0.752681
67108864, read_async_fadvise 12 Kb, 189.366072, 0.280292
67108864, read_async_fadvise 16 Kb, 189.191691, 0.729125
67108864, read_async_fadvise 24 Kb, 188.988026, 0.237315
67108864, read_async_fadvise 32 Kb, 188.946500, 0.368581
67108864, read_async_fadvise 40 Kb, 186.318918, 0.343342
67108864, read_async_fadvise 48 Kb, 186.339127, 0.184426
67108864, read_async_fadvise 56 Kb, 186.453994, 0.859699
67108864, read_async_fadvise 64 Kb, 186.447528, 0.277908
67108864, read_async_fadvise 256 Kb, 188.564673, 0.576750
67108864, read_async_fadvise 1024 Kb, 188.993994, 0.799435
67108864, read_async_fadvise 4096 Kb, 190.553992, 0.215947
67108864, read_async_fadvise 16384 Kb, 197.296609, 0.615092
67108864, read_async_fadvise 65536 Kb, 245.019619, 17.153647
67108864, mmap_plain, 192.873783, 0.586883
67108864, mmap_direct, 193.051067, 0.899002
67108864, mmap_fadvise, 191.531706, 0.561921
