File Size, Method, Mean (ms), Stddev (ms)
8388608, write_plain 4 Kb, 293.550024, 1.020447
8388608, write_plain 8 Kb, 288.037383, 2.586604
8388608, write_plain 12 Kb, 286.168371, 37.291339
8388608, write_plain 16 Kb, 284.287198, 1.909490
8388608, write_plain 24 Kb, 284.700941, 2.728220
8388608, write_plain 32 Kb, 283.165258, 0.834265
8388608, write_plain 40 Kb, 330.139527, 92.439736
8388608, write_plain 48 Kb, 284.308897, 1.402212
8388608, write_plain 56 Kb, 283.132886, 1.109544
8388608, write_plain 64 Kb, 281.953681, 4.420031
8388608, write_plain 256 Kb, 279.062096, 2.289040
8388608, write_plain 1024 Kb, 277.461787, 0.774246
8388608, write_plain 4096 Kb, 277.639846, 3.471417
8388608, write_direct 4 Kb, 496.635105, 97.263269
8388608, write_direct 8 Kb, 402.145664, 62.626027
8388608, write_direct 12 Kb, 345.868336, 91.714373
8388608, write_direct 16 Kb, 294.482064, 17.517576
8388608, write_direct 24 Kb, 367.694087, 53.016061
8388608, write_direct 32 Kb, 312.495448, 37.358491
8388608, write_direct 40 Kb, 314.365907, 53.002358
8388608, write_direct 48 Kb, 281.645420, 18.730470
8388608, write_direct 56 Kb, 269.936216, 1.255236
8388608, write_direct 64 Kb, 356.355582, 43.345078
8388608, write_direct 256 Kb, 256.612603, 1.049793
8388608, write_direct 1024 Kb, 262.996193, 1.215439
8388608, write_direct 4096 Kb, 269.573147, 2.086246
8388608, write_preallocate 4 Kb, 232.073948, 0.471745
8388608, write_preallocate 8 Kb, 227.489657, 1.685182
8388608, write_preallocate 12 Kb, 272.264887, 45.182980
8388608, write_preallocate 16 Kb, 235.677067, 25.297163
8388608, write_preallocate 24 Kb, 269.860871, 23.425456
8388608, write_preallocate 32 Kb, 232.541812, 22.438838
8388608, write_preallocate 40 Kb, 270.781588, 24.735661
8388608, write_preallocate 48 Kb, 281.397148, 38.013784
8388608, write_preallocate 56 Kb, 282.687844, 2.874399
8388608, write_preallocate 64 Kb, 233.124915, 22.434999
8388608, write_preallocate 256 Kb, 219.674447, 0.234869
8388608, write_preallocate 1024 Kb, 219.657171, 2.478883
8388608, write_preallocate 4096 Kb, 312.379508, 190.441874
8388608, write_direct_preallocate 4 Kb, 430.165207, 72.066399
8388608, write_direct_preallocate 8 Kb, 319.059217, 1.126198
8388608, write_direct_preallocate 12 Kb, 305.828751, 18.542359
8388608, write_direct_preallocate 16 Kb, 284.463495, 0.047903
8388608, write_direct_preallocate 24 Kb, 323.903883, 68.204315
8388608, write_direct_preallocate 32 Kb, 275.519482, 9.495936
8388608, write_direct_preallocate 40 Kb, 309.873502, 60.238735
8388608, write_direct_preallocate 48 Kb, 286.665143, 29.379163
8388608, write_direct_preallocate 56 Kb, 307.732101, 65.830680
