Method, Mean (ms), Stddev (ms)
write_plain 4 Kb, 3541.696706, 13.542307
write_plain 8 Kb, 3455.190236, 284.440222
write_plain 12 Kb, 4000.271765, 1079.912717
write_plain 16 Kb, 3454.286818, 330.533945
write_plain 24 Kb, 3609.472073, 460.991372
write_plain 32 Kb, 3893.748147, 1154.147417
write_plain 40 Kb, 3722.986088, 631.803803
write_plain 48 Kb, 3363.319504, 45.774258
write_plain 56 Kb, 3911.521821, 1111.530930
write_plain 64 Kb, 3357.080365, 82.716739
write_plain 256 Kb, 3372.947176, 9.777353
write_plain 1024 Kb, 3605.909057, 529.447367
write_plain 4096 Kb, 3282.258495, 99.012467
write_plain 16384 Kb, 3337.725017, 12.511503
write_plain 65536 Kb, 5124.871253, 1514.313372
write_direct 4 Kb, 6152.822236, 457.159304
write_direct 8 Kb, 4668.816424, 331.941842
write_direct 12 Kb, 3957.476020, 297.783435
write_direct 16 Kb, 3688.193679, 159.976212
write_direct 24 Kb, 3875.671218, 118.132186
write_direct 32 Kb, 3481.006055, 109.927191
write_direct 40 Kb, 3483.060104, 103.524304
write_direct 48 Kb, 3592.299742, 211.399886
write_direct 56 Kb, 3471.473116, 138.059893
write_direct 64 Kb, 3572.058165, 269.287182
write_direct 256 Kb, 3139.964423, 42.939227
write_direct 1024 Kb, 3256.037456, 80.585014
write_direct 4096 Kb, 3324.305907, 34.599553
write_direct 16384 Kb, 3415.411055, 236.652561
write_direct 65536 Kb, 4582.057032, 411.743164
write_preallocate 4 Kb, 2797.138046, 5.659059
write_preallocate 8 Kb, 2729.534713, 3.138345
write_preallocate 12 Kb, 2694.416687, 1.268671
write_preallocate 16 Kb, 3250.050217, 1119.893533
write_preallocate 24 Kb, 2671.997942, 2.090387
write_preallocate 32 Kb, 2664.780232, 2.244224
write_preallocate 40 Kb, 3275.558676, 185.304453
write_preallocate 48 Kb, 2752.395818, 187.427285
write_preallocate 56 Kb, 3269.449816, 183.684354
write_preallocate 64 Kb, 2826.156797, 209.801344
write_preallocate 256 Kb, 2647.387566, 2.363732
write_preallocate 1024 Kb, 2629.939256, 1.631159
write_preallocate 4096 Kb, 2618.080006, 2.610657
write_preallocate 16384 Kb, 2619.255421, 2.383903
write_preallocate 65536 Kb, 5058.331791, 1550.147964
write_async_plain 4 Kb, 3509.763306, 4.080675
write_async_plain 8 Kb, 3458.709356, 8.139957
write_async_plain 12 Kb, 3418.998162, 10.851951
write_async_plain 16 Kb, 3401.010336, 33.272262
write_async_plain 24 Kb, 3411.010757, 8.405551
write_async_plain 32 Kb, 3392.280965, 10.350417
write_async_plain 40 Kb, 3358.485615, 45.549191
write_async_plain 48 Kb, 3396.453172, 6.588719
write_async_plain 56 Kb, 3344.738646, 59.265408
write_async_plain 64 Kb, 3380.477172, 8.872579
write_async_plain 256 Kb, 3341.614775, 57.654733
write_async_plain 1024 Kb, 3356.919724, 10.033282
write_async_plain 4096 Kb, 3302.643594, 29.126913
write_async_plain 16384 Kb, 3739.080318, 1039.363013
write_async_plain 65536 Kb, 3619.750769, 1022.914737
write_async_direct 4 Kb, 3293.715442, 172.310130
write_async_direct 8 Kb, 2973.618344, 215.227526
write_async_direct 12 Kb, 3002.739823, 209.599933
write_async_direct 16 Kb, 2979.497150, 82.646500
write_async_direct 24 Kb, 3033.091327, 203.099833
write_async_direct 32 Kb, 3011.974333, 93.575818
write_async_direct 40 Kb, 3118.547538, 91.997702
write_async_direct 48 Kb, 3079.444501, 97.220513
write_async_direct 56 Kb, 3176.393135, 100.583569
write_async_direct 64 Kb, 3116.070320, 98.854804
write_async_direct 256 Kb, 3067.494673, 88.983818
write_async_direct 1024 Kb, 3144.034735, 77.105092
write_async_direct 4096 Kb, 3217.081914, 80.334842
write_async_direct 16384 Kb, 3527.095056, 273.397155
write_async_direct 65536 Kb, 4649.233362, 4.974458
write_async_preallocate 4 Kb, 5568.775449, 12.808711
write_async_preallocate 8 Kb, 3836.420096, 1330.833196
write_async_preallocate 12 Kb, 4437.726751, 1189.187160
write_async_preallocate 16 Kb, 5370.072540, 26.101369
write_async_preallocate 24 Kb, 5356.241894, 4.576974
write_async_preallocate 32 Kb, 5344.215536, 0.465253
write_async_preallocate 40 Kb, 5307.287316, 54.297696
write_async_preallocate 48 Kb, 5287.137433, 56.311949
write_async_preallocate 56 Kb, 5201.152888, 25.487334
write_async_preallocate 64 Kb, 5203.984309, 20.001736
write_async_preallocate 256 Kb, 5176.030692, 16.426406
write_async_preallocate 1024 Kb, 5203.780341, 53.413550
write_async_preallocate 4096 Kb, 5220.867094, 42.907243
write_async_preallocate 16384 Kb, 5248.310157, 36.196508
write_async_preallocate 65536 Kb, 5262.238989, 29.000029
write_mmap, 5372.383824, 2.950034
write_mmap, 5373.214963, 1.291999
