Method, File Size (KB), Mean (ms), Stddev (ms)
read_plain 4 Kb, 80, 287.145053, 22.299891
read_plain 8 Kb, 80, 295.086506, 34.842903
read_plain 12 Kb, 80, 287.095596, 34.069170
read_plain 16 Kb, 80, 278.036892, 13.851792
read_plain 24 Kb, 80, 291.455873, 44.026796
read_plain 32 Kb, 80, 309.001722, 48.930357
read_plain 40 Kb, 80, 289.846043, 34.083929
read_plain 48 Kb, 80, 276.628057, 5.762960
read_plain 56 Kb, 80, 274.937850, 3.163856
read_plain 64 Kb, 80, 278.520511, 30.021546
read_plain 256 Kb, 80, 260.319674, 3.768024
read_plain 1024 Kb, 80, 247.294377, 47.946249
read_plain 4096 Kb, 80, 266.136302, 31.989967
read_plain 16384 Kb, 80, 274.396930, 9.369301
read_plain 65536 Kb, 80, 294.251086, 42.321209
read_nocache 4 Kb, 80, 2453.909301, 126.288288
read_nocache 8 Kb, 80, 1385.663399, 17.428042
read_nocache 12 Kb, 80, 973.405518, 21.893971
read_nocache 16 Kb, 80, 718.807239, 24.711601
read_nocache 24 Kb, 80, 590.687864, 53.422370
read_nocache 32 Kb, 80, 487.017253, 13.274834
read_nocache 40 Kb, 80, 460.675483, 67.059268
read_nocache 48 Kb, 80, 469.307623, 44.553144
read_nocache 56 Kb, 80, 475.493681, 83.854486
read_nocache 64 Kb, 80, 405.587669, 58.702164
read_nocache 256 Kb, 80, 452.388754, 11.055322
read_nocache 1024 Kb, 80, 264.010625, 9.900826
read_nocache 4096 Kb, 80, 246.196744, 21.784637
read_nocache 16384 Kb, 80, 225.593608, 2.738527
read_nocache 65536 Kb, 80, 306.822461, 82.158635
read_readahead 4 Kb, 80, 318.263004, 28.901493
read_readahead 8 Kb, 80, 304.468137, 4.469637
read_readahead 12 Kb, 80, 311.184218, 7.518575
read_readahead 16 Kb, 80, 329.617928, 56.004155
read_readahead 24 Kb, 80, 310.949400, 34.644815
read_readahead 32 Kb, 80, 296.956211, 33.761099
read_readahead 40 Kb, 80, 288.537767, 24.837371
read_readahead 48 Kb, 80, 284.261522, 13.250910
read_readahead 56 Kb, 80, 282.650873, 23.092250
read_readahead 64 Kb, 80, 269.577246, 5.201246
read_readahead 256 Kb, 80, 271.446974, 34.179803
read_readahead 1024 Kb, 80, 242.386787, 33.963471
read_readahead 4096 Kb, 80, 230.674894, 37.553743
read_readahead 16384 Kb, 80, 259.613679, 37.210172
read_readahead 65536 Kb, 80, 263.422612, 29.749522
read_rdadvise 4 Kb, 80, 221.243905, 35.109736
read_rdadvise 8 Kb, 80, 196.454840, 17.773833
read_rdadvise 12 Kb, 80, 234.789613, 48.863487
read_rdadvise 16 Kb, 80, 208.444388, 47.974314
read_rdadvise 24 Kb, 80, 198.196901, 42.710459
read_rdadvise 32 Kb, 80, 199.128253, 25.195639
read_rdadvise 40 Kb, 80, 223.860696, 70.554783
read_rdadvise 48 Kb, 80, 213.683469, 64.299695
read_rdadvise 56 Kb, 80, 203.093071, 46.000701
read_rdadvise 64 Kb, 80, 218.092667, 64.550196
read_rdadvise 256 Kb, 80, 211.020986, 51.145649
read_rdadvise 1024 Kb, 80, 233.393761, 58.761339
read_rdadvise 4096 Kb, 80, 227.403327, 46.666327
read_rdadvise 16384 Kb, 80, 253.931094, 73.767337
read_rdadvise 65536 Kb, 80, 256.732476, 57.629589
read_async_nocache 4 Kb, 80, 2080.039307, 322.421105
read_async_nocache 8 Kb, 80, 1033.223577, 54.197588
read_async_nocache 12 Kb, 80, 715.859492, 28.267555
read_async_nocache 16 Kb, 80, 650.531909, 56.936060
read_async_nocache 24 Kb, 80, 497.760557, 28.008726
read_async_nocache 32 Kb, 80, 390.743446, 55.981873
read_async_nocache 40 Kb, 80, 330.692148, 36.419052
read_async_nocache 48 Kb, 80, 340.739474, 72.960762
read_async_nocache 56 Kb, 80, 345.043819, 94.920740
read_async_nocache 64 Kb, 80, 299.017275, 81.402595
read_async_nocache 256 Kb, 80, 364.344737, 28.818836
read_async_nocache 1024 Kb, 80, 216.707790, 27.792453
read_async_nocache 4096 Kb, 80, 199.379094, 30.314601
read_async_nocache 16384 Kb, 80, 242.668034, 59.679104
read_async_nocache 65536 Kb, 80, 293.096500, 67.919915
read_async_rdahead 4 Kb, 80, 256.899874, 13.431021
read_async_rdahead 8 Kb, 80, 284.427177, 37.377292
read_async_rdahead 12 Kb, 80, 283.585642, 42.016453
read_async_rdahead 16 Kb, 80, 259.885892, 4.744540
read_async_rdahead 24 Kb, 80, 292.064830, 47.817274
read_async_rdahead 32 Kb, 80, 304.164969, 53.015283
read_async_rdahead 40 Kb, 80, 252.699794, 7.369699
read_async_rdahead 48 Kb, 80, 305.038274, 55.833119
read_async_rdahead 56 Kb, 80, 278.362229, 35.876932
read_async_rdahead 64 Kb, 80, 270.791741, 52.270341
read_async_rdahead 256 Kb, 80, 286.392899, 47.726584
read_async_rdahead 1024 Kb, 80, 265.472880, 46.400610
read_async_rdahead 4096 Kb, 80, 202.090540, 23.589585
read_async_rdahead 16384 Kb, 80, 237.572119, 49.434354
read_async_rdahead 65536 Kb, 80, 263.528752, 21.309006
read_async_rdadvise 4 Kb, 80, 203.474377, 72.294118
read_async_rdadvise 8 Kb, 80, 191.744833, 27.623535
read_async_rdadvise 12 Kb, 80, 244.259785, 71.486372
read_async_rdadvise 16 Kb, 80, 215.760116, 32.695992
read_async_rdadvise 24 Kb, 80, 228.742907, 48.164351
read_async_rdadvise 32 Kb, 80, 220.707976, 46.274725
read_async_rdadvise 40 Kb, 80, 229.372605, 64.122912
read_async_rdadvise 48 Kb, 80, 206.754938, 49.370620
read_async_rdadvise 56 Kb, 80, 214.691093, 45.917769
read_async_rdadvise 64 Kb, 80, 231.834121, 46.031872
read_async_rdadvise 256 Kb, 80, 194.998873, 57.353161
read_async_rdadvise 1024 Kb, 80, 187.556160, 46.076030
read_async_rdadvise 4096 Kb, 80, 175.302102, 4.127774
read_async_rdadvise 16384 Kb, 80, 235.422722, 64.848396
read_async_rdadvise 65536 Kb, 80, 225.196273, 24.871086
