Method, File Size (KB), Mean (ms), Stddev (ms)
read_plain 4 Kb, 112, 404.728234, 45.025227
read_plain 8 Kb, 112, 395.225043, 36.029591
read_plain 12 Kb, 112, 399.453917, 52.501497
read_plain 16 Kb, 112, 373.333035, 38.785959
read_plain 24 Kb, 112, 405.277793, 47.751842
read_plain 32 Kb, 112, 415.813331, 65.769007
read_plain 40 Kb, 112, 377.141472, 23.588570
read_plain 48 Kb, 112, 403.266369, 47.611441
read_plain 56 Kb, 112, 398.875204, 41.707370
read_plain 64 Kb, 112, 442.937493, 54.147143
read_plain 256 Kb, 112, 446.795705, 74.126304
read_plain 1024 Kb, 112, 422.396337, 51.356571
read_plain 4096 Kb, 112, 327.589870, 51.835784
read_plain 16384 Kb, 112, 346.529242, 35.534549
read_plain 65536 Kb, 112, 388.748349, 62.478254
read_nocache 4 Kb, 112, 3316.791754, 130.503784
read_nocache 8 Kb, 112, 1774.865410, 47.612567
read_nocache 12 Kb, 112, 1291.740949, 29.636277
read_nocache 16 Kb, 112, 1071.493230, 23.524041
read_nocache 24 Kb, 112, 843.541669, 56.488130
read_nocache 32 Kb, 112, 676.288551, 24.465096
read_nocache 40 Kb, 112, 619.005901, 41.346632
read_nocache 48 Kb, 112, 625.574914, 67.420949
read_nocache 56 Kb, 112, 551.540733, 49.539100
read_nocache 64 Kb, 112, 527.203355, 52.713785
read_nocache 256 Kb, 112, 651.900947, 31.050807
read_nocache 1024 Kb, 112, 407.308762, 77.952654
read_nocache 4096 Kb, 112, 375.467077, 73.852523
read_nocache 16384 Kb, 112, 435.886169, 74.630849
read_nocache 65536 Kb, 112, 431.716223, 79.099478
read_readahead 4 Kb, 112, 393.993177, 27.103520
read_readahead 8 Kb, 112, 382.751872, 14.846199
read_readahead 12 Kb, 112, 404.787834, 44.390337
read_readahead 16 Kb, 112, 391.596759, 30.672870
read_readahead 24 Kb, 112, 435.796944, 67.108410
read_readahead 32 Kb, 112, 395.691235, 38.770071
read_readahead 40 Kb, 112, 391.541579, 40.441923
read_readahead 48 Kb, 112, 426.814241, 51.207198
read_readahead 56 Kb, 112, 421.111858, 67.815447
read_readahead 64 Kb, 112, 410.887018, 78.257512
read_readahead 256 Kb, 112, 452.899076, 95.299718
read_readahead 1024 Kb, 112, 332.549910, 38.639995
read_readahead 4096 Kb, 112, 342.190429, 58.071239
read_readahead 16384 Kb, 112, 360.235710, 47.545359
read_readahead 65536 Kb, 112, 365.088898, 36.856127
read_rdadvise 4 Kb, 112, 344.040632, 83.543608
read_rdadvise 8 Kb, 112, 334.268051, 75.473032
read_rdadvise 12 Kb, 112, 319.533135, 64.408618
read_rdadvise 16 Kb, 112, 314.407501, 46.167573
read_rdadvise 24 Kb, 112, 360.124769, 86.003419
read_rdadvise 32 Kb, 112, 342.835797, 88.112455
read_rdadvise 40 Kb, 112, 348.123587, 68.971531
read_rdadvise 48 Kb, 112, 303.074943, 55.257855
read_rdadvise 56 Kb, 112, 309.153922, 52.466569
read_rdadvise 64 Kb, 112, 282.621367, 28.384218
read_rdadvise 256 Kb, 112, 332.983420, 75.454653
read_rdadvise 1024 Kb, 112, 313.203109, 56.533498
read_rdadvise 4096 Kb, 112, 299.074550, 53.381702
read_rdadvise 16384 Kb, 112, 318.785470, 64.289039
read_rdadvise 65536 Kb, 112, 391.490219, 83.238700
read_async_nocache 4 Kb, 112, 3495.681508, 648.071085
read_async_nocache 8 Kb, 112, 2101.167613, 74.173770
read_async_nocache 12 Kb, 112, 1504.277548, 37.635388
read_async_nocache 16 Kb, 112, 1200.663327, 48.834702
read_async_nocache 24 Kb, 112, 883.518739, 36.715936
read_async_nocache 32 Kb, 112, 720.300129, 48.149217
read_async_nocache 40 Kb, 112, 629.020437, 41.204562
read_async_nocache 48 Kb, 112, 540.456386, 57.315550
read_async_nocache 56 Kb, 112, 450.858895, 62.239510
read_async_nocache 64 Kb, 112, 412.841289, 61.576984
read_async_nocache 256 Kb, 112, 550.759001, 91.036479
read_async_nocache 1024 Kb, 112, 323.880201, 66.754968
read_async_nocache 4096 Kb, 112, 296.400845, 88.102347
read_async_nocache 16384 Kb, 112, 319.720631, 90.931227
read_async_nocache 65536 Kb, 112, 398.413316, 73.884348
read_async_rdahead 4 Kb, 112, 387.840259, 58.966209
read_async_rdahead 8 Kb, 112, 397.303343, 77.255299
read_async_rdahead 12 Kb, 112, 400.103770, 60.014017
read_async_rdahead 16 Kb, 112, 418.598816, 66.939094
read_async_rdahead 24 Kb, 112, 423.184657, 65.339719
read_async_rdahead 32 Kb, 112, 448.980905, 95.206711
read_async_rdahead 40 Kb, 112, 383.932389, 52.378158
read_async_rdahead 48 Kb, 112, 400.229870, 59.752395
read_async_rdahead 56 Kb, 112, 410.020063, 67.339209
read_async_rdahead 64 Kb, 112, 396.575404, 83.392880
read_async_rdahead 256 Kb, 112, 407.009266, 88.253080
read_async_rdahead 1024 Kb, 112, 339.792689, 46.442496
read_async_rdahead 4096 Kb, 112, 320.197327, 64.353548
read_async_rdahead 16384 Kb, 112, 364.086992, 73.797922
read_async_rdahead 65536 Kb, 112, 398.803459, 62.548161
read_async_rdadvise 4 Kb, 112, 338.647964, 80.324769
read_async_rdadvise 8 Kb, 112, 322.563583, 52.386742
read_async_rdadvise 12 Kb, 112, 330.082941, 36.096456
read_async_rdadvise 16 Kb, 112, 312.922587, 70.177058
read_async_rdadvise 24 Kb, 112, 355.822180, 77.441673
read_async_rdadvise 32 Kb, 112, 397.738612, 78.457878
read_async_rdadvise 40 Kb, 112, 298.630848, 61.933964
read_async_rdadvise 48 Kb, 112, 330.185654, 58.393057
read_async_rdadvise 56 Kb, 112, 328.522233, 70.391907
read_async_rdadvise 64 Kb, 112, 329.302022, 63.967681
read_async_rdadvise 256 Kb, 112, 273.031294, 18.648682
read_async_rdadvise 1024 Kb, 112, 307.432536, 60.149859
read_async_rdadvise 4096 Kb, 112, 299.249252, 42.954108
read_async_rdadvise 16384 Kb, 112, 338.274757, 73.149133
read_async_rdadvise 65536 Kb, 112, 328.092518, 46.988420
read_plain 4 Kb, 128, 448.407680, 42.369711
read_plain 8 Kb, 128, 446.908928, 33.571939
read_plain 12 Kb, 128, 464.581592, 55.269000
read_plain 16 Kb, 128, 423.914013, 51.500731
read_plain 24 Kb, 128, 430.687548, 4.571611
read_plain 32 Kb, 128, 448.838779, 36.651732
read_plain 40 Kb, 128, 426.883063, 29.553864
read_plain 48 Kb, 128, 430.767157, 7.775307
read_plain 56 Kb, 128, 543.410251, 66.432310
read_plain 64 Kb, 128, 472.887889, 51.571349
read_plain 256 Kb, 128, 471.820914, 51.944952
read_plain 1024 Kb, 128, 466.700388, 68.269675
read_plain 4096 Kb, 128, 372.356590, 50.890786
read_plain 16384 Kb, 128, 407.386230, 36.012789
read_plain 65536 Kb, 128, 446.590444, 76.785644
read_nocache 4 Kb, 128, 3837.477815, 105.232661
read_nocache 8 Kb, 128, 1964.011538, 38.157190
read_nocache 12 Kb, 128, 1462.351751, 33.270747
read_nocache 16 Kb, 128, 1219.582689, 36.903113
read_nocache 24 Kb, 128, 960.074023, 48.880932
read_nocache 32 Kb, 128, 861.809030, 65.314951
read_nocache 40 Kb, 128, 769.119148, 69.982791
read_nocache 48 Kb, 128, 681.687766, 60.475087
