Method, File Size (KB), Mean (ms), Stddev (ms)
read_plain 4 Kb, 64, 236.784771, 31.399921
read_plain 8 Kb, 64, 214.753575, 4.106124
read_plain 12 Kb, 64, 247.439646, 53.932143
read_plain 16 Kb, 64, 212.491762, 8.246044
read_plain 24 Kb, 64, 220.851846, 4.538932
read_plain 32 Kb, 64, 228.610100, 24.280148
read_plain 40 Kb, 64, 222.269754, 21.622355
read_plain 48 Kb, 64, 218.383770, 3.882651
read_plain 56 Kb, 64, 238.773161, 34.379189
read_plain 64 Kb, 64, 246.323931, 39.229985
read_plain 256 Kb, 64, 221.503468, 3.152950
read_plain 1024 Kb, 64, 205.848468, 16.729448
read_plain 4096 Kb, 64, 186.521128, 1.787908
read_plain 16384 Kb, 64, 238.536868, 49.746727
read_plain 65536 Kb, 64, 237.099722, 52.529031
read_nocache 4 Kb, 64, 2075.285524, 16.165299
read_nocache 8 Kb, 64, 1141.232591, 36.217921
read_nocache 12 Kb, 64, 822.228574, 14.739883
read_nocache 16 Kb, 64, 673.935634, 18.005242
read_nocache 24 Kb, 64, 515.459832, 45.812803
read_nocache 32 Kb, 64, 440.941753, 13.464382
read_nocache 40 Kb, 64, 438.341348, 53.373129
read_nocache 48 Kb, 64, 364.673691, 19.509188
read_nocache 56 Kb, 64, 336.378891, 24.517923
read_nocache 64 Kb, 64, 327.193736, 36.095108
read_nocache 256 Kb, 64, 353.771886, 8.652218
read_nocache 1024 Kb, 64, 252.252508, 49.633065
read_nocache 4096 Kb, 64, 203.543197, 13.529598
read_nocache 16384 Kb, 64, 233.929407, 67.324277
read_nocache 65536 Kb, 64, 224.376380, 40.283194
read_readahead 4 Kb, 64, 250.549025, 57.331137
read_readahead 8 Kb, 64, 245.397014, 35.591373
read_readahead 12 Kb, 64, 236.386018, 38.157734
read_readahead 16 Kb, 64, 252.841794, 52.276933
read_readahead 24 Kb, 64, 242.074702, 52.682060
read_readahead 32 Kb, 64, 262.097663, 43.421502
read_readahead 40 Kb, 64, 226.568190, 31.964962
read_readahead 48 Kb, 64, 239.866668, 38.843728
read_readahead 56 Kb, 64, 263.447346, 54.847589
read_readahead 64 Kb, 64, 215.943704, 7.070674
read_readahead 256 Kb, 64, 212.559038, 7.557596
read_readahead 1024 Kb, 64, 195.424795, 32.265765
read_readahead 4096 Kb, 64, 198.692878, 36.760806
read_readahead 16384 Kb, 64, 197.522762, 1.355019
read_readahead 65536 Kb, 64, 209.103833, 3.844528
read_rdadvise 4 Kb, 64, 197.042353, 55.036909
read_rdadvise 8 Kb, 64, 153.893862, 2.151166
read_rdadvise 12 Kb, 64, 161.183851, 24.498180
read_rdadvise 16 Kb, 64, 186.294447, 62.369591
read_rdadvise 24 Kb, 64, 162.069110, 36.214233
read_rdadvise 32 Kb, 64, 177.635790, 55.268520
read_rdadvise 40 Kb, 64, 163.865024, 35.481879
read_rdadvise 48 Kb, 64, 156.051587, 27.366009
read_rdadvise 56 Kb, 64, 161.929481, 37.282581
read_rdadvise 64 Kb, 64, 173.409395, 51.142270
read_rdadvise 256 Kb, 64, 152.227306, 28.919949
read_rdadvise 1024 Kb, 64, 144.185294, 2.150230
read_rdadvise 4096 Kb, 64, 170.978374, 48.872008
read_rdadvise 16384 Kb, 64, 184.289818, 52.593524
read_rdadvise 65536 Kb, 64, 200.941246, 13.031269
read_async_nocache 4 Kb, 64, 1636.611588, 164.211931
read_async_nocache 8 Kb, 64, 1001.080871, 22.661199
read_async_nocache 12 Kb, 64, 723.761818, 35.483466
read_async_nocache 16 Kb, 64, 556.088382, 25.541290
read_async_nocache 24 Kb, 64, 422.970992, 27.856624
read_async_nocache 32 Kb, 64, 337.158452, 25.119364
read_async_nocache 40 Kb, 64, 315.751576, 45.416643
read_async_nocache 48 Kb, 64, 290.301156, 72.499476
read_async_nocache 56 Kb, 64, 262.983706, 39.341390
read_async_nocache 64 Kb, 64, 251.857977, 43.928396
read_async_nocache 256 Kb, 64, 335.071429, 49.692647
read_async_nocache 1024 Kb, 64, 184.788185, 37.493398
read_async_nocache 4096 Kb, 64, 161.762273, 33.362496
read_async_nocache 16384 Kb, 64, 211.097939, 48.395489
read_async_nocache 65536 Kb, 64, 246.192106, 47.106874
read_async_rdahead 4 Kb, 64, 213.721900, 29.183231
read_async_rdahead 8 Kb, 64, 235.846085, 53.840644
read_async_rdahead 12 Kb, 64, 206.131434, 3.737854
read_async_rdahead 16 Kb, 64, 222.212951, 30.495498
read_async_rdahead 24 Kb, 64, 231.691583, 46.983167
read_async_rdahead 32 Kb, 64, 215.720781, 36.166309
read_async_rdahead 40 Kb, 64, 231.133268, 41.090996
read_async_rdahead 48 Kb, 64, 232.088742, 36.000647
read_async_rdahead 56 Kb, 64, 232.526753, 40.923123
read_async_rdahead 64 Kb, 64, 221.212532, 45.140084
read_async_rdahead 256 Kb, 64, 207.987034, 37.413458
read_async_rdahead 1024 Kb, 64, 187.075125, 16.454229
