Method, Mean (ms), Stddev (ms)
write_preallocate_truncate_nocache 4 Kb, 660.617446, 9.672770
write_preallocate_truncate_nocache 8 Kb, 563.148157, 5.768520
write_preallocate_truncate_nocache 12 Kb, 555.227992, 14.537683
write_preallocate_truncate_nocache 16 Kb, 1094.033634, 28.234159
write_preallocate_truncate_nocache 24 Kb, 944.010650, 28.640986
write_preallocate_truncate_nocache 32 Kb, 848.403905, 14.849321
write_preallocate_truncate_nocache 40 Kb, 787.504051, 0.688067
write_preallocate_truncate_nocache 48 Kb, 778.341210, 15.613302
write_preallocate_truncate_nocache 56 Kb, 758.812325, 7.391555
write_preallocate_truncate_nocache 64 Kb, 742.055795, 9.498835
write_preallocate_truncate_nocache 256 Kb, 667.704527, 3.961064
write_preallocate_truncate_nocache 1024 Kb, 640.327319, 8.838637
write_preallocate_truncate_nocache 4096 Kb, 606.596404, 6.963794
write_preallocate_truncate_nocache 16384 Kb, 602.954184, 4.087673
write_preallocate_truncate_nocache 65536 Kb, 622.673171, 2.775770
async_write_preallocate_truncate_nocache 4 Kb, 560.302913, 5.623266
async_write_preallocate_truncate_nocache 8 Kb, 512.867840, 0.938745
async_write_preallocate_truncate_nocache 12 Kb, 496.863092, 1.631194
async_write_preallocate_truncate_nocache 16 Kb, 479.396130, 10.112960
async_write_preallocate_truncate_nocache 24 Kb, 470.620254, 7.733464
async_write_preallocate_truncate_nocache 32 Kb, 459.768174, 0.241960
async_write_preallocate_truncate_nocache 40 Kb, 457.504530, 1.017265
async_write_preallocate_truncate_nocache 48 Kb, 455.487802, 0.207571
async_write_preallocate_truncate_nocache 56 Kb, 454.677942, 0.978354
async_write_preallocate_truncate_nocache 64 Kb, 453.335453, 0.190014
async_write_preallocate_truncate_nocache 256 Kb, 445.482239, 0.706791
async_write_preallocate_truncate_nocache 1024 Kb, 445.023304, 4.303174
async_write_preallocate_truncate_nocache 4096 Kb, 450.641812, 1.649492
async_write_preallocate_truncate_nocache 16384 Kb, 488.544285, 2.970563
async_write_preallocate_truncate_nocache 65536 Kb, 621.426610, 7.994196
