Method, Mean (ms), Stddev (ms)
read_plain 4 Kb, 509.973260, 56.724320
read_plain 16 Kb, 508.674253, 56.668185
read_plain 64 Kb, 456.582019, 6.277740
read_plain 256 Kb, 443.453306, 1.490172
read_plain 1024 Kb, 420.144750, 37.602964
read_plain 4096 Kb, 355.955960, 54.651483
read_plain 16384 Kb, 369.634561, 30.304808
read_plain 65536 Kb, 400.021596, 63.893884
read_nocache 4 Kb, 4018.196824, 42.217449
read_nocache 16 Kb, 1473.722033, 81.677114
read_nocache 64 Kb, 648.166875, 6.328182
read_nocache 256 Kb, 729.591975, 2.815031
read_nocache 1024 Kb, 516.163635, 54.422248
read_nocache 4096 Kb, 381.795387, 58.873856
read_nocache 16384 Kb, 366.379436, 54.695172
read_nocache 65536 Kb, 449.673389, 84.090606
read_readahead 4 Kb, 497.410565, 63.532704
read_readahead 16 Kb, 484.949956, 45.178071
read_readahead 64 Kb, 468.841561, 16.309751
read_readahead 256 Kb, 480.093470, 50.538819
read_readahead 1024 Kb, 457.204181, 76.182650
read_readahead 4096 Kb, 385.993323, 67.456805
read_readahead 16384 Kb, 398.467776, 47.419464
read_readahead 65536 Kb, 448.930308, 61.304677
read_rdadvise 4 Kb, 325.211922, 19.108361
read_rdadvise 16 Kb, 335.378731, 44.743478
read_rdadvise 64 Kb, 362.294089, 115.535472
read_rdadvise 256 Kb, 344.019087, 54.142071
read_rdadvise 1024 Kb, 404.543037, 92.121834
read_rdadvise 4096 Kb, 378.606208, 80.164781
read_rdadvise 16384 Kb, 325.965597, 19.141622
read_rdadvise 65536 Kb, 363.465647, 60.915314
read_aio_nocache 4 Kb, 4560.882568, 102.766488
read_aio_nocache 16 Kb, 1559.198719, 9.732043
read_aio_nocache 64 Kb, 676.558331, 67.698246
read_aio_nocache 256 Kb, 705.484989, 20.822295
read_aio_nocache 1024 Kb, 449.151329, 62.763640
read_aio_nocache 4096 Kb, 389.527182, 105.911891
read_aio_nocache 16384 Kb, 386.682846, 127.915467
read_aio_nocache 65536 Kb, 438.896353, 84.466862
read_aio_rdahead 4 Kb, 606.553741, 67.926532
read_aio_rdahead 16 Kb, 497.286932, 45.708072
read_aio_rdahead 64 Kb, 504.159237, 57.697714
read_aio_rdahead 256 Kb, 491.617052, 99.127184
read_aio_rdahead 1024 Kb, 424.977313, 61.367562
read_aio_rdahead 4096 Kb, 347.940648, 61.814702
read_aio_rdahead 16384 Kb, 369.038337, 66.570635
read_aio_rdahead 65536 Kb, 391.659734, 75.284825
read_aio_rdadvise 4 Kb, 613.088556, 73.769373
read_aio_rdadvise 16 Kb, 304.934860, 2.693102
read_aio_rdadvise 64 Kb, 307.283857, 35.431109
read_aio_rdadvise 256 Kb, 285.549947, 17.180307
read_aio_rdadvise 1024 Kb, 307.877900, 44.507616
read_aio_rdadvise 4096 Kb, 342.388544, 86.506852
read_aio_rdadvise 16384 Kb, 334.456803, 82.832122
read_aio_rdadvise 65536 Kb, 409.612492, 98.265424
read_async_nocache 4 Kb, 2342.984930, 67.046631
read_async_nocache 16 Kb, 855.793396, 48.788832
read_async_nocache 64 Kb, 464.651291, 73.322224
read_async_nocache 256 Kb, 582.452301, 75.257388
read_async_nocache 1024 Kb, 337.678639, 0.869107
read_async_nocache 4096 Kb, 322.816465, 58.431891
read_async_nocache 16384 Kb, 338.826973, 54.783960
read_async_nocache 65536 Kb, 396.699184, 67.666663
read_async_rdahead 4 Kb, 495.980694, 100.775780
read_async_rdahead 16 Kb, 498.498231, 109.594661
read_async_rdahead 64 Kb, 481.779459, 58.477088
read_async_rdahead 256 Kb, 440.799460, 49.515055
read_async_rdahead 1024 Kb, 378.686883, 17.919416
read_async_rdahead 4096 Kb, 355.037667, 34.560313
read_async_rdahead 16384 Kb, 370.976920, 67.516122
read_async_rdahead 65536 Kb, 374.613501, 58.071312
read_async_rdadvise 4 Kb, 373.011786, 67.915127
read_async_rdadvise 16 Kb, 355.951990, 65.515230
read_async_rdadvise 64 Kb, 317.422898, 79.651662
read_async_rdadvise 256 Kb, 380.110925, 82.847121
read_async_rdadvise 1024 Kb, 305.270749, 63.250131
read_async_rdadvise 4096 Kb, 325.494413, 77.913249
read_async_rdadvise 16384 Kb, 407.825714, 101.550536
read_async_rdadvise 65536 Kb, 394.910256, 105.086478
mmap_plain, 867.313107, 64.645424
mmap_readahead, 1007.930933, 82.255116
mmap_rdadvise, 405.120114, 59.180001
