Method                                  Mean (ms)           Stddev (ms)
read_plain 4 Kb                         1025.282834         95.498619
read_plain 16 Kb                        1040.591038         102.593524
read_plain 64 Kb                        975.779023          87.255612
read_plain 256 Kb                       902.543925          52.465035
read_plain 1024 Kb                      878.819794          38.140279
read_plain 4096 Kb                      745.260424          76.741257
read_plain 16384 Kb                     727.507463          48.215482
read_plain 65536 Kb                     854.387047          72.575000
read_plain 262144 Kb                    771.461134          88.133051
read_nocache 4 Kb                       7840.641143         71.561128
read_nocache 16 Kb                      2866.600374         55.047161
read_nocache 64 Kb                      1258.668996         54.532347
read_nocache 256 Kb                     1519.704119         58.315717
read_nocache 1024 Kb                    1020.877499         116.274386
read_nocache 4096 Kb                    723.190187          62.711714
read_nocache 16384 Kb                   867.293180          143.503876
read_nocache 65536 Kb                   781.764524          91.249086
read_nocache 262144 Kb                  823.975978          84.189252
read_readahead 4 Kb                     1061.738802         104.411747
read_readahead 16 Kb                    982.480241          91.006936
read_readahead 64 Kb                    976.532204          111.227568
read_readahead 256 Kb                   914.057100          104.495617
read_readahead 1024 Kb                  854.709613          96.356074
read_readahead 4096 Kb                  791.248548          81.636605
read_readahead 16384 Kb                 787.481342          70.321687
read_readahead 65536 Kb                 744.008038          51.849643
read_readahead 262144 Kb                809.196359          78.698429
read_rdadvise 4 Kb                      797.350653          133.785671
read_rdadvise 16 Kb                     766.238649          119.148579
read_rdadvise 64 Kb                     850.708293          225.759617
read_rdadvise 256 Kb                    756.827433          136.917514
read_rdadvise 1024 Kb                   835.473361          40.438458
read_rdadvise 4096 Kb                   772.394527          79.763574
read_rdadvise 16384 Kb                  702.828115          64.409446
read_rdadvise 65536 Kb                  887.726947          122.201441
read_rdadvise 262144 Kb                 912.700129          128.925282
read_async_nocache 4 Kb                 8732.301529         109.395762
read_async_nocache 16 Kb                2782.452975         80.970816
read_async_nocache 64 Kb                1298.821207         69.664159
read_async_nocache 256 Kb               1322.042151         134.182363
read_async_nocache 1024 Kb              785.944124          77.454442
read_async_nocache 4096 Kb              746.004444          100.157805
read_async_nocache 16384 Kb             657.164720          86.133243
read_async_nocache 65536 Kb             670.422610          133.894950
read_async_nocache 262144 Kb            834.572114          146.473905
read_async_rdadvise 4 Kb                1432.280991         150.205061
read_async_rdadvise 16 Kb               840.851849          143.584819
read_async_rdadvise 64 Kb               785.470949          170.311861
read_async_rdadvise 256 Kb              783.391462          125.764933
read_async_rdadvise 1024 Kb             679.780707          125.278562
read_async_rdadvise 4096 Kb             823.961576          173.359904
read_async_rdadvise 16384 Kb            765.035027          139.326808
read_async_rdadvise 65536 Kb            706.804918          90.700497
read_async_rdadvise 262144 Kb           859.095874          67.400159
mmap_plain                              1605.374674         60.851964
mmap_readahead                          1695.859569         81.972977
mmap_rdadvise                           852.343520          70.051667
