Method, Mean (ms), Stddev (ms)
read_plain 4 Kb, 239.001226, 0.788084
read_plain 16 Kb, 286.801961, 59.380876
read_plain 64 Kb, 277.551074, 52.769327
read_plain 256 Kb, 275.885176, 66.865866
read_plain 1024 Kb, 201.479101, 0.933213
read_plain 4096 Kb, 203.916207, 52.371188
read_plain 16384 Kb, 232.517328, 49.946239
read_plain 65536 Kb, 237.557331, 69.665178
read_nocache 4 Kb, 1996.492219, 14.338749
read_nocache 16 Kb, 727.550847, 39.519982
read_nocache 64 Kb, 362.226464, 25.433991
read_nocache 256 Kb, 386.475001, 37.334238
read_nocache 1024 Kb, 218.249342, 0.990540
read_nocache 4096 Kb, 234.675143, 67.487144
read_nocache 16384 Kb, 181.553723, 1.762788
read_nocache 65536 Kb, 199.048563, 9.120941
read_readahead 4 Kb, 295.085293, 55.323980
read_readahead 16 Kb, 278.007740, 60.855721
read_readahead 64 Kb, 330.681653, 52.234246
read_readahead 256 Kb, 292.676952, 54.160493
read_readahead 1024 Kb, 203.208019, 0.804005
read_readahead 4096 Kb, 206.081861, 58.243413
read_readahead 16384 Kb, 196.631587, 3.137259
read_readahead 65536 Kb, 207.758596, 4.508473
read_rdadvise 4 Kb, 169.340449, 26.102480
read_rdadvise 16 Kb, 163.498989, 30.962071
read_rdadvise 64 Kb, 198.703009, 59.666853
read_rdadvise 256 Kb, 158.847017, 40.680697
read_rdadvise 1024 Kb, 137.988108, 0.866843
read_rdadvise 4096 Kb, 170.410294, 52.703081
read_rdadvise 16384 Kb, 189.240964, 53.989253
read_rdadvise 65536 Kb, 193.606071, 31.045027
read_aio_nocache 4 Kb, 2213.461495, 74.853894
read_aio_nocache 16 Kb, 743.421259, 37.215667
read_aio_nocache 64 Kb, 344.347105, 50.098965
read_aio_nocache 256 Kb, 348.463607, 44.552622
read_aio_nocache 1024 Kb, 262.018585, 62.424038
read_aio_nocache 4096 Kb, 202.685386, 46.272159
read_aio_nocache 16384 Kb, 173.026289, 36.202758
read_aio_nocache 65536 Kb, 197.915033, 8.062731
read_aio_rdahead 4 Kb, 283.103994, 3.476518
read_aio_rdahead 16 Kb, 264.384953, 47.227508
read_aio_rdahead 64 Kb, 230.755446, 1.971637
read_aio_rdahead 256 Kb, 247.623072, 28.908712
read_aio_rdahead 1024 Kb, 219.040362, 37.943448
read_aio_rdahead 4096 Kb, 160.830424, 2.224861
read_aio_rdahead 16384 Kb, 200.180164, 35.889945
read_aio_rdahead 65536 Kb, 225.132299, 53.608766
read_aio_rdadvise 4 Kb, 281.551432, 73.424622
read_aio_rdadvise 16 Kb, 187.489406, 66.052790
read_aio_rdadvise 64 Kb, 150.991832, 17.179736
read_aio_rdadvise 256 Kb, 150.452935, 18.289754
read_aio_rdadvise 1024 Kb, 165.105537, 54.109494
read_aio_rdadvise 4096 Kb, 138.763149, 1.234422
read_aio_rdadvise 16384 Kb, 148.485798, 1.168269
read_aio_rdadvise 65536 Kb, 197.822244, 35.117272
read_async_nocache 4 Kb, 1122.590385, 15.694138
read_async_nocache 16 Kb, 420.978346, 11.239089
read_async_nocache 64 Kb, 242.131659, 8.355097
read_async_nocache 256 Kb, 312.698365, 52.814977
read_async_nocache 1024 Kb, 203.258714, 63.696721
read_async_nocache 4096 Kb, 148.621932, 1.168815
read_async_nocache 16384 Kb, 201.948514, 48.760007
read_async_nocache 65536 Kb, 219.233812, 19.286298
read_async_rdahead 4 Kb, 241.081464, 28.735337
read_async_rdahead 16 Kb, 231.308568, 19.491535
read_async_rdahead 64 Kb, 222.778506, 13.270922
read_async_rdahead 256 Kb, 275.189602, 79.214805
read_async_rdahead 1024 Kb, 199.370572, 0.543446
read_async_rdahead 4096 Kb, 202.348406, 53.836048
read_async_rdahead 16384 Kb, 188.246642, 29.781449
read_async_rdahead 65536 Kb, 200.748350, 4.019026
read_async_rdadvise 4 Kb, 154.869702, 37.243647
read_async_rdadvise 16 Kb, 188.655518, 38.804651
read_async_rdadvise 64 Kb, 143.201115, 12.760374
read_async_rdadvise 256 Kb, 137.324066, 1.364290
read_async_rdadvise 1024 Kb, 166.151211, 44.584279
read_async_rdadvise 4096 Kb, 145.535498, 14.069919
read_async_rdadvise 16384 Kb, 148.578419, 0.705504
read_async_rdadvise 65536 Kb, 177.798118, 1.787108
mmap_plain, 438.052029, 45.011494
mmap_readahead, 439.466347, 44.620575
mmap_rdadvise, 204.162787, 15.669679
