Method, Mean (ms), Stddev (ms)
write_preallocate_truncate_nocache 4 Kb, 341.921401, 3.695709
write_preallocate_truncate_nocache 8 Kb, 299.883511, 10.398804
write_preallocate_truncate_nocache 12 Kb, 285.272865, 6.587092
write_preallocate_truncate_nocache 16 Kb, 574.117310, 6.635322
write_preallocate_truncate_nocache 24 Kb, 478.636047, 0.851755
write_preallocate_truncate_nocache 32 Kb, 423.013881, 0.668463
write_preallocate_truncate_nocache 40 Kb, 395.918998, 1.426582
write_preallocate_truncate_nocache 48 Kb, 391.635067, 10.693292
write_preallocate_truncate_nocache 56 Kb, 380.432428, 4.343005
write_preallocate_truncate_nocache 64 Kb, 368.630030, 6.740139
write_preallocate_truncate_nocache 256 Kb, 331.725773, 1.088680
write_preallocate_truncate_nocache 1024 Kb, 316.858335, 5.478850
write_preallocate_truncate_nocache 4096 Kb, 306.985166, 6.085789
write_preallocate_truncate_nocache 16384 Kb, 303.404512, 1.815019
async_write_preallocate_truncate_nocache 4 Kb, 289.923876, 5.203440
async_write_preallocate_truncate_nocache 8 Kb, 266.948832, 0.968938
async_write_preallocate_truncate_nocache 12 Kb, 258.605318, 1.464988
async_write_preallocate_truncate_nocache 16 Kb, 240.977092, 8.818056
async_write_preallocate_truncate_nocache 24 Kb, 233.104848, 1.510494
async_write_preallocate_truncate_nocache 32 Kb, 232.480901, 5.973764
async_write_preallocate_truncate_nocache 40 Kb, 229.101638, 0.310664
async_write_preallocate_truncate_nocache 48 Kb, 227.918305, 0.063834
async_write_preallocate_truncate_nocache 56 Kb, 227.665604, 0.210444
async_write_preallocate_truncate_nocache 64 Kb, 227.011600, 0.120577
async_write_preallocate_truncate_nocache 256 Kb, 223.241636, 0.457374
async_write_preallocate_truncate_nocache 1024 Kb, 223.122623, 1.656379
async_write_preallocate_truncate_nocache 4096 Kb, 232.363079, 2.101506
async_write_preallocate_truncate_nocache 16384 Kb, 266.507444, 2.997001
