Method, Mean (ms), Stddev (ms)
read_aio_rdadvise 65536 Kb, 327.405138, 0.000000
read_async_rdadvise 65536 Kb, 347.768339, 0.000000
read_aio_rdadvise 65536 Kb, 503.273068, 0.000000
read_async_rdadvise 65536 Kb, 349.648340, 0.000000
read_aio_rdadvise 65536 Kb, 336.461588, 0.000000
read_async_rdadvise 65536 Kb, 347.729914, 0.000000
read_aio_rdadvise 65536 Kb, 332.751065, 0.000000
read_async_rdadvise 65536 Kb, 349.143499, 0.000000
read_aio_rdadvise 65536 Kb, 359.590753, 0.000000
read_async_rdadvise 65536 Kb, 523.655134, 0.000000
read_aio_rdadvise 65536 Kb, 334.258643, 0.000000
read_async_rdadvise 65536 Kb, 350.296029, 0.000000
read_aio_rdadvise 65536 Kb, 332.491005, 0.000000
read_async_rdadvise 65536 Kb, 598.003016, 0.000000
read_aio_rdadvise 65536 Kb, 330.329471, 0.000000
read_async_rdadvise 65536 Kb, 348.464611, 0.000000
read_aio_rdadvise 65536 Kb, 491.710478, 0.000000
read_async_rdadvise 65536 Kb, 523.998291, 0.000000
read_aio_rdadvise 65536 Kb, 333.280765, 0.000000
read_async_rdadvise 65536 Kb, 514.379022, 0.000000
read_aio_rdadvise 65536 Kb, 423.222876, 0.000000
read_async_rdadvise 65536 Kb, 503.506305, 0.000000
read_aio_rdadvise 65536 Kb, 531.548428, 0.000000
read_async_rdadvise 65536 Kb, 592.383914, 0.000000
read_aio_rdadvise 65536 Kb, 370.017634, 0.000000
read_async_rdadvise 65536 Kb, 452.049176, 0.000000
read_aio_rdadvise 65536 Kb, 339.073131, 0.000000
read_async_rdadvise 65536 Kb, 346.088507, 0.000000
read_aio_rdadvise 65536 Kb, 335.812495, 0.000000
read_async_rdadvise 65536 Kb, 348.301615, 0.000000
read_aio_rdadvise 65536 Kb, 329.328515, 0.000000
read_async_rdadvise 65536 Kb, 628.624936, 0.000000
read_aio_rdadvise 65536 Kb, 339.078878, 0.000000
read_async_rdadvise 65536 Kb, 351.586929, 0.000000
read_aio_rdadvise 65536 Kb, 341.491811, 0.000000
read_async_rdadvise 65536 Kb, 352.055892, 0.000000
read_aio_rdadvise 65536 Kb, 493.472602, 0.000000
read_async_rdadvise 65536 Kb, 349.785999, 0.000000
read_aio_rdadvise 65536 Kb, 330.004730, 0.000000
read_async_rdadvise 65536 Kb, 495.809670, 0.000000
read_aio_rdadvise 65536 Kb, 330.677772, 0.000000
read_async_rdadvise 65536 Kb, 405.501756, 0.000000
read_aio_rdadvise 65536 Kb, 337.417449, 0.000000
read_async_rdadvise 65536 Kb, 347.163409, 0.000000
read_aio_rdadvise 65536 Kb, 394.818926, 0.000000
read_async_rdadvise 65536 Kb, 348.282585, 0.000000
read_aio_rdadvise 65536 Kb, 334.721816, 0.000000
read_async_rdadvise 65536 Kb, 372.302194, 0.000000
read_aio_rdadvise 65536 Kb, 337.230894, 0.000000
read_async_rdadvise 65536 Kb, 346.628502, 0.000000
read_aio_rdadvise 65536 Kb, 424.766274, 0.000000
read_async_rdadvise 65536 Kb, 347.837633, 0.000000
read_aio_rdadvise 65536 Kb, 328.253427, 0.000000
read_async_rdadvise 65536 Kb, 349.835252, 0.000000
read_aio_rdadvise 65536 Kb, 547.118413, 0.000000
read_async_rdadvise 65536 Kb, 351.810775, 0.000000
read_aio_rdadvise 65536 Kb, 331.884251, 0.000000
read_async_rdadvise 65536 Kb, 348.916444, 0.000000
read_aio_rdadvise 65536 Kb, 469.260083, 0.000000
read_async_rdadvise 65536 Kb, 353.101658, 0.000000
read_aio_rdadvise 65536 Kb, 337.740893, 0.000000
read_async_rdadvise 65536 Kb, 350.809014, 0.000000
read_aio_rdadvise 65536 Kb, 636.221816, 0.000000
read_async_rdadvise 65536 Kb, 352.102774, 0.000000
read_aio_rdadvise 65536 Kb, 348.302819, 0.000000
read_async_rdadvise 65536 Kb, 450.408571, 0.000000
read_aio_rdadvise 65536 Kb, 334.436501, 0.000000
read_async_rdadvise 65536 Kb, 355.895180, 0.000000
read_aio_rdadvise 65536 Kb, 334.973181, 0.000000
read_async_rdadvise 65536 Kb, 369.832753, 0.000000
read_aio_rdadvise 65536 Kb, 442.551057, 0.000000
read_async_rdadvise 65536 Kb, 348.836455, 0.000000
read_aio_rdadvise 65536 Kb, 446.334590, 0.000000
read_async_rdadvise 65536 Kb, 352.847887, 0.000000
read_aio_rdadvise 65536 Kb, 346.652568, 0.000000
read_async_rdadvise 65536 Kb, 514.583771, 0.000000
read_aio_rdadvise 65536 Kb, 508.008177, 0.000000
read_async_rdadvise 65536 Kb, 368.927582, 0.000000
